Metric,Unit,Case05,Case06,Difference,RelativeDifference_pct
eta_geom_post_mean,1,0.275451415244565,0.275451415244565,-1.66533453693773e-16,-6.04583764966005e-14
static_LS_steady_Cs1,pF,4.88660405561254,4.88660405561254,1.77635683940025e-15,3.63515606990913e-14
static_LS_steady_Cs2,pF,-4.88660405561188,-4.88660405561188,-8.88178419700125e-16,-1.81757803495481e-14
recursive_fault_induced_Delta_Cs1,pF,4.88637935957825,4.8884152269316,0.0020358673533476,0.0416641280492662
recursive_fault_induced_Delta_Cs2,pF,-4.88571298691452,-4.8816888627627,0.00402412415182152,0.0823651361142047
actual_M2_Delta_Cs1,pF,4.91677374531756,5.00627092717497,0.0894971818574142,1.82024202237587
actual_M2_Delta_Cs2,pF,-4.95699445662807,-4.97734794650682,-0.0203534898787465,-0.410601425053675
fault_factor_true,ratio,1.59999999999967,1.59999999999967,3.33066907387547e-15,2.0816681711726e-13
fault_factor_M2,ratio,1.40107479735928,1.40226869710244,0.00119389974315842,0.0852131339032479
fault_retention_error,%,-12.432825165027,-12.3582064310797,0.0746187339473057,0.600175205207622
lambda_fault_ramp_mean,1,0.590783455110383,0.629442582071641,0.038659126961258,6.54370507955996
lambda_contribution_mean,%,2.71813998600702,3.3014625364923,0.58332255048528,21.4603572107479
rate_limit_active_any_cycles,cycles,0,0,0,NaN
projection_active_total_cycles,cycles,0,0,0,NaN
state_mismatch_ramp_mean,1,6.78557192969439e-06,6.9136270033889e-06,1.28055073694508e-07,1.88716699227851
false_compensation_amplitude_ratio,ratio,0.333295280438714,0.33322770185547,-6.75785832442433e-05,-0.0202758896421486
false_compensation_phase_difference,deg,0.0067672600862636,0.0683225771530829,0.0615553170668193,909.60471863297
false_compensation_correlation,1,0.909040087198527,0.909038679103599,-1.40809492799043e-06,-0.000154899101570965
