condition_id,condition_order,factor_type,factor_value,fault_factor_target,reference_phase_error_deg,amplitude_sweep_member,phase_sweep_member,seed,SNR_dB,Cs1_true_pre_pF,Cs2_true_pre_pF,Cs1_est_pre_pF,Cs2_est_pre_pF,Cs1_pre_estimation_bias_pF,Cs2_pre_estimation_bias_pF,eta_geom_ramp,eta_geom_post,eta_geom_fault_min,eta_geom_fault_max,rank_X_min,rank_X_max,cond2_X_mean,DeltaCs1_LS,DeltaCs2_LS,DeltaCs1_fault_induced,DeltaCs2_fault_induced,DeltaCs1_actual_M2,DeltaCs2_actual_M2,DeltaCs1_counterfactual_background,DeltaCs2_counterfactual_background,LS_prediction_error_Cs1_pF,LS_prediction_error_Cs2_pF,LS_prediction_relative_error_Cs1_pct,LS_prediction_relative_error_Cs2_pct,fault_factor_true,fault_factor_est,fault_factor_counterfactual_parameters,fault_retention_error,counterfactual_retention_error_pct,r_fault_fundamental_RMS_A,false_compensation_fundamental_RMS_A,false_compensation_ratio,false_compensation_phase,false_compensation_correlation,lambda_pre_mean,lambda_ramp_mean,lambda_counterfactual_ramp_mean,lambda_post_mean,lambda_contribution_Cs1_pct,lambda_contribution_Cs2_pct,rate_limit_cycles,projection_cycles,state_mismatch_pre_mean,state_mismatch_ramp_mean,state_mismatch_post_mean,E_in_pre_mean_A,E_in_ramp_mean_A,E_in_post_mean_A,E_quad_pre_mean_A,E_quad_ramp_mean_A,E_quad_post_mean_A,instrumentation_replay_max,counterfactual_identity_max_A,projection_energy_closure_max,recursive_update_replay_max_pF,pre_fault_branch_difference_max_pF,condition_validation_pass,noise_signature_max_abs
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,1,0,106,30,10,10,10.0201700123504,10.0504865735005,0.0201700123503787,0.0504865735005033,0.235466619851413,0.275451415244565,0.173363711368723,0.275451415244937,2,2,1.2909944487358,0.407217004634379,-0.407217004634324,0.404535615687523,-0.404645690108941,0.434837319659263,-0.475840205149593,0.0303017039717393,-0.0711945150406521,0.00268138894685527,-0.00257131452538262,0.662831365860864,-0.635448390588406,1.04999999999978,1.03449332994628,1.05105227944537,-1.47682571938155,0.100217090055497,4.22172284119413e-05,1.39816496580713e-05,0.331183504553392,-0.0134996907900984,0.909012138604646,0.874070256062503,0.787332673856721,0.880353801402267,0.88048318431921,2.1053406684747,2.11195252909116,0,0,3.9450977218166e-06,4.32702251154949e-06,4.51017523842025e-06,0.000927120070920156,0.000938308063090053,0.000944536256545447,1.23435783371897e-05,1.16254649809176e-05,1.4660408786939e-05,0,2.16840434497101e-19,5.10540832528373e-15,0,0,1,7.99360577730113e-15
fault_factor_1p10,2,fault_amplitude,1.1,1.1,0,1,0,106,30,10,10,10.0201738625462,10.050492788708,0.0201738625461978,0.05049278870802,0.235466619851413,0.275451415244565,0.173363711368723,0.275451415244936,2,2,1.2909944487358,0.814434009268757,-0.814434009268647,0.813478937488346,-0.8134426437586,0.843787489034012,-0.884643583980342,0.0303085515456658,-0.0712009402217415,0.000955071780410099,-0.000991365510046527,0.117405840077301,-0.121872822583509,1.09999999999977,1.06775876633884,1.10105189988946,-2.9310212419039,0.0956272626984252,8.44344568238826e-05,2.81111869402165e-05,0.332935012524309,0.00221385031775867,0.90903558419991,0.874061551394017,0.676790037981674,0.880339017016834,0.880568591181041,2.63496879643494,2.61071297989937,0,0,3.9453520425064e-06,5.35719646543363e-06,4.56840344096866e-06,0.000927120066661451,0.000946370900976387,0.000960268536027501,1.23442961046638e-05,1.18428079158301e-05,2.25690894608321e-05,0,2.16840434497101e-19,5.00722739595136e-15,0,0,1,7.105427357601e-15
fault_factor_1p20,3,fault_amplitude,1.2,1.2,0,1,0,106,30,10,10,10.0201820970783,10.0505060803349,0.0201820970783206,0.0505060803349497,0.235466619851413,0.275451415244565,0.173363711368724,0.275451415244937,2,2,1.2909944487358,1.62886801853751,-1.62886801853729,1.62823819298762,-1.62817496580291,1.65856138790765,-1.6993896457292,0.0303231949200349,-0.0712146799262907,0.00062982554989377,-0.000693052734383359,0.0386814136043644,-0.0425662320659494,1.19999999999975,1.13441236425062,1.20105134595793,-5.46563631242911,0.0876121631810014,0.000168868913647765,5.62667802185423e-05,0.333197975891716,0.00192684862349779,0.909038899299537,0.874042933811348,0.639636474972159,0.880307400304551,0.880527211636053,2.70982332392424,2.68615856167634,0,0,3.94589599261519e-06,5.92813914624825e-06,4.63380275435105e-06,0.000927120057557607,0.000962959734864434,0.000992256633365476,1.23458312402199e-05,1.24163922619064e-05,4.11107082882522e-05,0,2.16840434497101e-19,4.3199608906247e-15,0,0,1,6.21724893790088e-15
fault_factor_1p30,4,fault_amplitude,1.3,1.3,0,1,0,106,30,10,10,10.0201910434736,10.0505205194065,0.0201910434736217,0.0505205194065326,0.235466619851413,0.275451415244565,0.173363711368724,0.275451415244936,2,2,1.2909944487358,2.44330202780627,-2.44330202780594,2.44259150681674,-2.44239261584564,2.47293060831492,-2.51362222011039,0.0303391014981838,-0.0712296042647473,0.000710520989531283,-0.000909411960297479,0.0290888176573272,-0.0372344705923789,1.29999999999973,1.20108492631221,1.30105102533625,-7.60885182211877,0.080848102808779,0.000253303370471647,8.44064666017183e-05,0.333222832544552,0.00404050056036453,0.909039554127259,0.874022705782198,0.629204219917104,0.880273055181107,0.880458038381627,2.71730065345308,2.6895030079227,0,0,3.94648700745868e-06,6.09075787355555e-06,4.70727373295816e-06,0.000927120047673515,0.000980130372796397,0.00102488779983267,1.2347499122828e-05,1.30955088430508e-05,6.05032031395066e-05,0,2.16840434497101e-19,4.88722848231131e-15,0,0,1,4.44089209850063e-15
fault_factor_1p40,5,fault_amplitude,1.4,1.4,0,1,0,106,30,10,10,10.0202007013108,10.0505361048492,0.0202007013108485,0.0505361048492308,0.235466619851413,0.275451415244565,0.173363711368723,0.275451415244937,2,2,1.2909944487358,3.25773603707502,-3.25773603707459,3.25708952144036,-3.25670584262819,3.28744579130438,-3.32795155438876,0.0303562698640167,-0.0712457117605698,0.00064651563466489,-0.00103019444639907,0.0198494892574824,-0.031633021101092,1.39999999999971,1.26775269497527,1.40105090237013,-9.44623607317659,0.0750644550296302,0.00033773782729553,0.00011255030488048,0.333247554121089,0.00584543672519544,0.909039836859642,0.87400086801217,0.617235022752121,0.880235984451322,0.880408826626384,2.72428893228656,2.69296493273687,0,0,3.94712506951769e-06,6.28990793988619e-06,4.79252839033031e-06,0.000927120037011316,0.00099782673502257,0.00105810201816241,1.23492996832052e-05,1.39183416996139e-05,8.01429563959118e-05,0,2.16840434497101e-19,4.71268460794305e-15,0,0,1,3.5527136788005e-15
fault_factor_1p60_phase_0deg,6,fault_amplitude,1.6,1.6,0,1,1,106,30,10,10,10.0202221494653,10.0505707101295,0.0202221494653099,0.0505707101295449,0.235466619851413,0.275451415244565,0.173363711368723,0.275451415244936,2,2,1.2909944487358,4.88660405561254,-4.88660405561188,4.88637935957825,-4.88571298691452,4.91677374531756,-4.95699445662807,0.0303943857393136,-0.0712814697135489,0.000224696034290872,-0.000891068697363551,0.00459841567254545,-0.0182382530400397,1.59999999999967,1.40107479735928,1.60105115428053,-12.432825165027,0.0656971425536663,0.000506606740943295,0.000168849635794913,0.333295280438714,0.0067672600862636,0.909040087198527,0.873952366346039,0.590783455110383,0.880153678482468,0.880369131287328,2.73469170257035,2.70158826944369,0,0,3.94854225794089e-06,6.78557192967762e-06,4.98420535990903e-06,0.000927120013362,0.00103460319648333,0.00112607164092766,1.23532985329673e-05,1.59777680253156e-05,0.000119688270638865,0,2.16840434497101e-19,5.49813204261326e-15,0,0,1,0
phase_error_0p33deg,7,reference_phase_error,0.33,1.6,0.33,0,1,106,30,10,10,9.95334736288933,9.91705741351699,-0.0466526371106664,-0.0829425864830053,0.235547776153451,0.275458725167656,0.173504306636815,0.275458725168027,2,2,1.2909944487358,4.85727421250094,-4.9157717966517,4.85706428561399,-4.9148605840053,4.88726226287953,-4.98647116983716,0.0301979772655372,-0.071610585831861,0.00020992688694399,-0.000911212646400372,0.00432209405928117,-0.0185399490143379,1.59999999999967,1.37939929523559,1.56855509401139,-13.7875440477578,-1.965306624268,0.000506606740943295,0.000168855600388687,0.333307054055787,-0.256932250277401,0.909030955132776,0.873754284861499,0.590492655355993,0.879833191464071,0.880335914285904,2.73490648322358,2.70123540287786,0,0,3.9495205408058e-06,6.79061714219882e-06,4.99376034044572e-06,0.000963198220843876,0.00107041579399563,0.00116163352724248,1.39997582265367e-05,1.82499100622478e-05,0.000120019760852241,0,2.16840434497101e-19,6.54539528881058e-15,0,0,1,0
phase_error_0p50deg,8,reference_phase_error,0.5,1.6,0.5,0,1,106,30,10,10,9.91669624389264,9.84607770899051,-0.0833037561073553,-0.153922291009488,0.235594428855315,0.275468196278453,0.173580245517271,0.275468196278826,2,2,1.2909944487358,4.84210195453752,-4.9307340228688,4.84189964106786,-4.9298123418005,4.8719958352873,-5.00159128286055,0.0300961942194373,-0.0717789410600425,0.000202313469654491,-0.000921681068293267,0.00417839039740758,-0.0186960680121273,1.59999999999967,1.36912241733121,1.55314925778798,-14.4298489167818,-2.92817138823165,0.000506606740943295,0.000168863560337461,0.33332276633936,-0.39274839069185,0.909018739163082,0.873652860220353,0.590342875675738,0.879667364991268,0.88031921359226,2.73503905821436,2.70107227054177,0,0,3.95002171450632e-06,6.79329141174895e-06,4.99895351622836e-06,0.000982338130789057,0.00108936554764077,0.0011804160563543,1.57537805219417e-05,2.03446903802747e-05,0.000120387331236976,0,2.16840434497101e-19,5.58540397977973e-15,0,0,1,0
phase_error_1p00deg,9,reference_phase_error,1,1.6,1,0,1,106,30,10,10,9.80023008152551,9.62864992533623,-0.199769918474495,-0.371350074663772,0.235750718330418,0.275518534268452,0.173817402068013,0.275518534268825,2,2,1.2909944487358,4.79723110865285,-4.97448849563862,4.79705121127434,-4.97353566518199,4.82684569260625,-5.04580506698806,0.0297944813319067,-0.0722694018060732,0.000179897378510319,-0.000952830456634857,0.00375016589540491,-0.0191580099305469,1.59999999999967,1.34188208898256,1.51231809098181,-16.1323694385729,-5.48011931361763,0.000506606740943295,0.000168906223826617,0.333406980554665,-0.791956360770143,0.908953261592314,0.87335699681785,0.589902514140359,0.879176836036365,0.880271717467638,2.73551535869535,2.70066566968326,0,0,3.95148773806668e-06,6.80147738791519e-06,5.01539271062767e-06,0.00104058363834125,0.001146884826834,0.00123732457473246,2.27615429191084e-05,2.80664038946442e-05,0.000122128670021419,0,2.16840434497101e-19,5.67267591696917e-15,0,0,1,0
phase_error_2p00deg,10,reference_phase_error,2,1.6,2,0,1,106,30,10,10,9.52851334536941,9.15505727255936,-0.471486654630588,-0.844942727440637,0.236148539604144,0.275719809565924,0.17435328715556,0.275719809566297,2,2,1.2909944487358,4.70639687862564,-5.06085765828062,4.70626194741552,-5.05984091581836,4.73544266805136,-5.13307008779698,0.0291807206358428,-0.0732291719786264,0.000134931210125089,-0.00101674246226402,0.00286705694737598,-0.0200943563084251,1.59999999999967,1.29789049755419,1.4463909148152,-18.8818439028466,-9.60056782403128,0.000506606740943295,0.00016907760219561,0.333745267346257,-1.58822850965578,0.908690877721319,0.872776300600937,0.589023005235008,0.87818369348802,0.880184023241073,2.73685441531867,2.70017807414665,0,0,3.95441264552948e-06,6.81949920885729e-06,5.05434057292752e-06,0.00116434591991676,0.00126869765674153,0.00135756503228185,3.77902220639791e-05,4.46320041652439e-05,0.000127734498435899,0,2.16840434497101e-19,5.6726759169755e-15,0,0,1,0
