case_name,cycle_index,Cs1_true_pF,Cs2_true_pF,delta_Cs1_true_pF,delta_Cs2_true_pF,drift_magnitude_pF_per_cycle,normal_suppression,parameter_error_norm_pF,time_s,Cs1_pF,Cs2_pF,lambda,innovation_scalar,local_ls_Cs1_pF,local_ls_Cs2_pF,E_in,E_quad,base_in,base_in_candidate,base_in_increment_candidate,base_in_increment_applied,evidence_ratio_base,evidence_ratio_quad,evidence_background_excess,evidence_phase_weight,fault_evidence_score,update_weight,delta_c_local_1,delta_c_local_2,delta_c_m2_raw_1,delta_c_m2_raw_2,delta_c_raw_1,delta_c_raw_2,delta_c_after_rate_1,delta_c_after_rate_2,delta_c_applied_1,delta_c_applied_2,delta_c_suppressed_1,delta_c_suppressed_2,delta_c_information_suppressed_1,delta_c_information_suppressed_2,delta_c_rate_suppressed_1,delta_c_rate_suppressed_2,delta_c_projection_suppressed_1,delta_c_projection_suppressed_2,J_increment_norm_raw,J_increment_norm_applied,h_increment_norm_raw,h_increment_norm_applied,rate_limit_active,projection_active,m4_evidence_valid,fault_direction_candidate_1,fault_direction_candidate_2,direction_candidate_valid,cos_local_fault,cos_raw_fault,delta_c_parallel_1,delta_c_parallel_2,delta_c_perpendicular_1,delta_c_perpendicular_2,R_condition_number,J_11,J_12,J_21,J_22,h_1,h_2,J_increment_raw_11,J_increment_raw_12,J_increment_raw_21,J_increment_raw_22,J_increment_applied_11,J_increment_applied_12,J_increment_applied_21,J_increment_applied_22,h_increment_raw_1,h_increment_raw_2,h_increment_applied_1,h_increment_applied_2,forced_update_weight_active,direction_diagnostics_enabled
Case01_static,1,10,10,NaN,NaN,NaN,0,0.130328641621074,0.71998,9.87017411653658,10.0114365558511,0.839280111429866,0.0699864667730938,9.68110163974097,9.96273829790049,0.000926530161792305,1.54378553414534e-05,0.000926530161792305,0.000926530161792305,0,0,0.99999999999976,60.0167666613042,0,1,0,1,-0.338847848269122,-0.0873771938661356,-0.149775371473519,-0.0386789359154971,-0.149775371473519,-0.0386789359154971,-0.149775371473519,-0.0386789359154971,-0.149775371473519,-0.0386789359154971,0,0,0,0,0,0,0,0,2.64014701036556e-06,2.64014701036556e-06,3.12361871395332e-05,3.12361871395332e-05,0,0,1,0.381941859705639,-0.924186353396649,1,-0.139076508359175,-0.138723007907433,-0.00819606713836589,0.019832058750089,-0.141579304335153,-0.0585109946655861,1.66666666666668,5.40369773391397e-06,1.34882623319994e-06,1.34882623319994e-06,5.40369773391396e-06,6.68401127828256e-05,6.74129279483672e-05,1.81103132679223e-06,4.53159631419495e-07,4.53159631419495e-07,1.81103132679224e-06,1.81103132679223e-06,4.53159631419495e-07,4.53159631419495e-07,1.81103132679224e-06,2.18402240661834e-05,2.2331681525466e-05,2.18402240661834e-05,2.2331681525466e-05,0,1
Case01_static,2,10,10,0,0,0,0.0147444219258951,0.122697681325725,0.73998,9.92956742038175,10.1004687649522,0.853952644679306,0.0633920698070536,10.0459822858089,10.2751700396519,0.000928194032804664,1.48445516510157e-05,0.000926554751865246,0.00092655511985749,2.49580651853981e-08,2.45900729418415e-08,1.00179580879366,62.5275895568913,0.0149650732804947,1,0.0149650732804947,0.985255578074105,0.175808169272285,0.263733483800761,0.0600790307278363,0.0900602544745173,0.0593933038451784,0.0890322091011146,0.0593933038451784,0.0890322091011146,0.0593933038451784,0.0890322091011146,0.000685726882657889,0.00102804537340262,0.000685726882657889,0.00102804537340262,0,0,0,0,2.33139042492657e-06,2.29701542082746e-06,2.90380164379416e-05,2.86098676716895e-05,0,0,1,-0.362482160957852,0.931990709710841,1,0.574424631296275,0.574149195389779,-0.0222738685742055,0.0572691316053304,0.0816671724193839,0.0317630774957842,1.66666666666669,6.97936624756535e-06,1.74304527998386e-06,1.74304527998386e-06,6.97936624756533e-06,8.69086550698535e-05,8.78035664539501e-05,1.59924850842394e-06,4.00118563707613e-07,4.00118563707613e-07,1.59924850842394e-06,1.57566851365138e-06,3.94219046783925e-07,3.94219046783925e-07,1.57566851365138e-06,2.0368869492986e-05,2.0695785905055e-05,2.00685422870279e-05,2.03906385055828e-05,0,1
Case01_static,3,10,10,0,0,0,0.00958600035333346,0.112145274041597,0.75998,9.91603179694511,10.0743364201828,0.945178169221514,0.0223918340577465,9.87797011911224,10.0011079360837,0.000927630902345805,7.82247551112061e-06,0.000926570739382771,0.000926570894122455,1.61422572083269e-08,1.59875175250205e-08,1.00116145373835,118.5853379791,0.00967878115288496,1,0.00967878115288496,0.990413999646667,-0.0515973012695099,-0.0993608288685479,-0.0136373736225721,-0.0263288077005779,-0.0135356234366437,-0.0261323447694135,-0.0135356234366437,-0.0261323447694135,-0.0135356234366437,-0.0261323447694135,-0.000101750185928395,-0.000196462931164376,-0.000101750185928395,-0.000196462931164376,0,0,0,0,2.92399760502544e-06,2.89596816295052e-06,3.51957643351003e-05,3.48583777257482e-05,0,0,1,0.364615765421375,-0.931158065854654,1,0.658342211225822,0.659129468816774,0.00707283189939307,-0.0180626431880772,-0.0206084553360368,-0.0080697015813363,1.66666666666668,8.96596106711686e-06,2.23979151634869e-06,2.23979151634869e-06,8.96596106711684e-06,0.000111472159881651,0.00011253695944868,2.0058226360494e-06,5.01554134475124e-07,5.01554134475124e-07,2.0058226360494e-06,1.98659481955151e-06,4.9674623636483e-07,4.9674623636483e-07,1.9865948195515e-06,2.48012495992183e-05,2.49727820926943e-05,2.45635048117971e-05,2.473339299473e-05,0,1
Case01_static,4,10,10,0,0,0,0.0192030396185304,0.144743640996264,0.77998,9.89833049980078,10.1030244356359,0.926748119037493,0.0306750026797783,9.83512223886795,10.2046343025404,0.000928747700609809,6.96205483644576e-06,0.000926602766737087,0.000926603393801177,3.26544184054952e-08,3.20273543151723e-08,1.00234948194918,133.401376805921,0.0195790162431393,1,0.0195790162431393,0.98079696038147,-0.0809095580771579,0.130297882357578,-0.0179917950369308,0.029158796017752,-0.0177012971443329,0.0286880154530724,-0.0177012971443329,0.0286880154530724,-0.0177012971443329,0.0286880154530724,-0.000290497892597941,0.000470780564679529,-0.000290497892597941,0.000470780564679529,0,0,0,0,2.52436490999055e-06,2.47588943061237e-06,3.07072738804006e-05,3.01176008834982e-05,0,0,1,-0.47889316511036,0.877873189253764,1,0.998415899043798,0.998571764166802,-0.016120247831626,0.02955050187916,-0.00158104931270692,-0.000862486426087543,1.66666666666668,1.06643784835446e-05,2.66451791755776e-06,2.66451791755776e-06,1.06643784835446e-05,0.000132480222268414,0.000134117765683192,1.73167075861159e-06,4.33042126317231e-07,4.33042126317231e-07,1.73167075861159e-06,1.69841741642772e-06,4.24726401209068e-07,4.24726401209068e-07,1.69841741642772e-06,2.1419379581471e-05,2.20033371903172e-05,2.10080623867637e-05,2.15808062345116e-05,0,1
Case01_static,5,10,10,0,0,0,0.0495593402919458,0.0800400122943662,0.79998,9.94372212426954,10.0569140076901,0.850181827465267,0.065086819116734,10.1263457052574,9.87082534724639,0.000932400728518064,9.79706612899425e-06,0.000926685426016388,0.000926689736163801,8.6969426714629e-08,8.26592793010637e-08,1.00625722476652,95.1714233853651,0.0521435397210057,1,0.0521435397210057,0.950440659708054,0.228015205456657,-0.23219908838951,0.0475952163199604,-0.0483489126648493,0.045391624468758,-0.0461104279458002,0.045391624468758,-0.0461104279458002,0.045391624468758,-0.0461104279458002,0.00220359185120245,-0.00223848471904908,0.00220359185120245,-0.00223848471904908,0,0,0,0,1.15275322429519e-06,1.09562353497971e-06,1.39837007284103e-05,1.32906777454703e-05,0,0,1,0.553573274666168,-0.83280047404848,1,0.98206868665536,0.981835021341922,0.035167611386442,-0.0529064620242795,0.0102240130823159,0.0067960340784793,1.66666666666668,1.14159171718882e-05,2.85262710160651e-06,2.85262710160651e-06,1.14159171718882e-05,0.000142206327980008,0.000143175634230528,7.90726575791126e-07,1.97917862759081e-07,1.97917862759081e-07,7.90726575791127e-07,7.51538688343608e-07,1.8810918404875e-07,1.8810918404875e-07,7.5153868834361e-07,1.02332592910975e-05,9.53017787572248e-06,9.72610571159426e-06,9.05786854733679e-06,0,1
Case01_static,6,10,10,0,0,0,0.0272241010024611,0.0632726693011905,0.81998,9.9462850394552,10.0334385061593,0.935949300685066,0.0265396401415435,9.95779485749959,9.92496412837791,0.000929797531609857,1.01414022370447e-05,0.000926730836736135,0.00092673210760029,4.6681583902022e-08,4.54107197468993e-08,1.00335831934535,91.6833303577206,0.0279859945445974,1,0.0279859945445974,0.972775898997539,0.0140727332300532,-0.13194987931219,0.00262556230198108,-0.0240492081401129,0.00256291518566698,-0.0234755015307524,0.00256291518566698,-0.0234755015307524,0.00256291518566698,-0.0234755015307524,6.26471163140963e-05,-0.000573706609360514,6.26471163140963e-05,-0.000573706609360514,0,0,0,0,2.41586129180459e-06,2.35009163998857e-06,2.9051007748738e-05,2.82601201795631e-05,0,0,1,0.34505421820032,-0.938582754210924,1,0.969883061103076,0.970487242676426,0.00790796829991367,-0.0215104823405946,-0.00534505311424669,-0.00196501919015781,1.6666666666667,1.30280469110369e-05,3.25574378734949e-06,3.25574378734949e-06,1.30280469110369e-05,0.000162247967795252,0.000163099666605512,1.6572467932337e-06,4.14398307111015e-07,4.14398307111015e-07,1.65724679323371e-06,1.6121297391487e-06,4.03116685742976e-07,4.03116685742976e-07,1.61212973914871e-06,2.06025250377778e-05,2.04816262363361e-05,2.00416398152436e-05,1.99240323749834e-05,0,1
Case01_static,7,10,10,0,0,0,0.0109521737644092,0.0357075804003819,0.83998,9.96906946133052,10.0178418910339,0.920319827036153,0.0335641226803808,10.0845227692247,9.9382855327388,0.000927962289884025,8.46669473677503e-06,0.00092674910622702,0.000926749308533353,1.84717972184388e-08,1.82694908855115e-08,1.00132881425637,109.601481889868,0.0110734521363787,1,0.0110734521363787,0.989047826235591,0.138237729769479,-0.0951529734205501,0.0230130326840925,-0.0157531081486013,0.0227844218753201,-0.0155966151254425,0.0227844218753201,-0.0155966151254425,0.0227844218753201,-0.0155966151254425,0.000228610808772345,-0.000156493023158788,0.000228610808772345,-0.000156493023158788,0,0,0,0,1.96851626222502e-06,1.94695673006307e-06,2.39419676253335e-05,2.3679751035639e-05,0,0,1,0.997822223451119,-0.0659606730336975,1,0.859328482526908,0.860646168659073,0.0237118139902453,-0.00156746078899398,-0.00092739211492511,-0.0140291543364485,1.66666666666669,1.43636246945388e-05,3.58973815644119e-06,3.58973815644119e-06,1.43636246945388e-05,0.000179154398484726,0.00017967987198578,1.35036724016197e-06,3.37692839751659e-07,3.37692839751659e-07,1.35036724016197e-06,1.33557778350195e-06,3.33994369091702e-07,3.33994369091702e-07,1.33557778350195e-06,1.70936432405103e-05,1.67638054909579e-05,1.69064306894735e-05,1.65802053802682e-05,0,1
Case01_static,8,10,10,0,0,0,0,0.0444583674019226,0.85998,9.95554299270143,10.0003477558042,0.929937535419278,0.029241557114931,9.87959592066185,9.90220797696517,0.000926183949891797,1.38926284872729e-05,0.000926740628881992,0.000926740628881992,-8.47734502832254e-09,-8.47734502832254e-09,0.999390173314819,66.6672941499496,0,1,0,1,-0.0894735406686742,-0.115633914068734,-0.0135264686290917,-0.0174941352296827,-0.0135264686290917,-0.0174941352296827,-0.0135264686290917,-0.0174941352296827,-0.0135264686290917,-0.0174941352296827,0,0,0,0,0,0,0,0,2.01475799508403e-06,2.01475799508403e-06,2.39856526380077e-05,2.39856526380077e-05,0,0,1,-0.612238295871775,-0.790673301097247,1,0.999999938754761,0.999999752383503,-0.0135387730376803,-0.0174846076155142,1.23044085886068e-05,-9.52761416847525e-06,1.66666666666668,1.57457180195414e-05,3.9353433218551e-06,3.9353433218551e-06,1.57457180195414e-05,0.00019611297000583,0.000196642135526792,1.3820933250026e-06,3.45605165413913e-07,3.45605165413913e-07,1.3820933250026e-06,1.3820933250026e-06,3.45605165413913e-07,3.45605165413913e-07,1.3820933250026e-06,1.69585715211049e-05,1.69622635410117e-05,1.69585715211049e-05,1.69622635410117e-05,0,1
Case01_static,9,10,10,0,0,0,0,0.0445843469906881,0.87998,9.95749346515184,10.0134520813181,0.952255917680451,0.019210823514404,9.96941545403329,10.0953948405524,0.000921500923176248,8.74335009463627e-06,0.000926662033296406,0.000926662033296406,-7.85955855862018e-08,-7.85955855862018e-08,0.994346092593042,105.394489889883,0,1,0,1,0.0138724613318537,0.0950470847482219,0.00195047245040847,0.0131043255138579,0.00195047245040847,0.0131043255138579,0.00195047245040847,0.0131043255138579,0.00195047245040847,0.0131043255138579,0,0,0,0,0,0,0,0,2.38586752122512e-06,2.38586752122512e-06,2.91012368978063e-05,2.91012368978063e-05,0,0,1,0.392538471335842,0.919735586199271,1,0.96678480131454,0.967503467545114,0.00503161699940565,0.011789308687961,-0.00308114454899718,0.00131501682589687,1.66666666666669,1.73823974336505e-05,4.3445650341944e-06,4.3445650341944e-06,1.73823974336505e-05,0.00021659019838767,0.000217319783042412,1.63667941410911e-06,4.092217123393e-07,4.092217123393e-07,1.63667941410911e-06,1.63667941410911e-06,4.092217123393e-07,4.092217123393e-07,1.63667941410911e-06,2.04772283818392e-05,2.06776475156204e-05,2.04772283818392e-05,2.06776475156204e-05,0,1
Case01_static,10,10,10,0,0,0,0,0.0516775451629374,0.89998,9.95046642264266,10.0147306954436,0.969285166175755,0.011557228685054,9.90057474000019,10.0234269045785,0.000916976750647473,1.13814975962058e-05,0.000926516754056672,0.000926516754056672,-1.45279239733989e-07,-1.45279239733989e-07,0.989548203874611,80.5673192722257,0,1,0,1,-0.0569187251516503,0.00997482326042665,-0.00702704250918451,0.00127861412549635,-0.00702704250918451,0.00127861412549635,-0.00702704250918451,0.00127861412549635,-0.00702704250918451,0.00127861412549635,0,0,0,0,0,0,0,0,2.70345422464337e-06,2.70345422464337e-06,3.26394495163058e-05,3.26394495163058e-05,0,0,1,-0.997090994207006,0.076220399311961,1,0.995280699720125,0.994628724405586,-0.00708339153724465,0.000541474082695068,5.63490280601426e-05,0.000737140042801278,1.66666666666668,1.92369442564235e-05,4.80823350898413e-06,4.80823350898413e-06,1.92369442564235e-05,0.000239570726657716,0.000240497983687783,1.85454682277294e-06,4.63668474789731e-07,4.63668474789731e-07,1.85454682277294e-06,1.85454682277294e-06,4.63668474789731e-07,4.63668474789731e-07,1.85454682277294e-06,2.29805282700468e-05,2.31782006453706e-05,2.29805282700468e-05,2.31782006453706e-05,0,1
