case_name,phase_name,start_s,end_s,cycle_count,mean_update_weight,unnecessary_suppression_ratio,mean_fault_evidence,mean_evidence_ratio_base,mean_evidence_ratio_quad,mean_E_in_A,mean_E_quad_A,mean_baseIn_A,mean_parameter_error_norm_pF
Case01_static,steady,0.8,4.000001,160,0.980237431206737,0.0197625687932632,0.0209937059428645,1.00056153003704,89.0389754176747,0.000927646106769389,1.13646620610476e-05,0.000927131465548822,0.0503891435551867
Case02_slow_drift,drift_onset,1,1.2,10,0.952311243557083,0.047688756442917,0.0504944258522766,1.00579103897408,87.3083293431827,0.000930293389802025,1.16379887418568e-05,0.000925012953220172,0.0437932896997016
Case02_slow_drift,drift_middle,1.9,2.1,10,0.973088412083485,0.0269115879165151,0.0293920644047191,1.00211776596946,80.2148397834704,0.000928869493596848,1.35829564924448e-05,0.00092693214162399,0.347880341386676
Case02_slow_drift,drift_end,2.9,3.1,10,0.976867472022983,0.0231325279770174,0.0244020655266473,1.0024469702199,90.0452071487449,0.000929600090665089,1.14841933968935e-05,0.000927362898739804,0.111679153159564
Case02_slow_drift,post_drift,3.2,4.000001,40,0.985759617343961,0.0142403826560388,0.0149833993058901,0.999711358548992,81.7472770059317,0.000927342206233105,1.20957605879657e-05,0.000927604819884891,0.0610347369946335
Case03_smooth_step,pre_transition,0.8,1.45,32,0.982144719124045,0.0178552808759547,0.0189033124577838,1.00049064025225,88.8581882287856,0.000928993018878392,1.15187461591079e-05,0.000928542801044631,0.063406710608405
Case03_smooth_step,transition,1.45,1.65,10,0.995739434048517,0.00426056595148349,0.00433220550995409,0.998378019656986,43.2108986633307,0.00092683310020872,2.90014443254656e-05,0.000928316206224182,1.28470597584279
Case03_smooth_step,early_recovery,1.65,2.2,28,0.984682567872952,0.0153174321270483,0.0160372563817676,0.998464299946172,82.4242656825237,0.000926436207498289,1.27706513172966e-05,0.000927838803689847,0.118147831675008
Case03_smooth_step,late_post_transition,2.2,4.000001,90,0.984076601142541,0.0159233988574588,0.0168253146519575,0.999343361601364,82.9287653198262,0.000926646474152803,1.21399372743672e-05,0.000927244811796169,0.0730305778722783
Case04_random_drift,activation,0.8,1,10,1,0,0,0.988954508123881,65.6320662072196,0.000925655879168312,1.53679268950289e-05,0.000935839760622983,0.429414837766928
Case04_random_drift,random_tracking,1,4.000001,150,0.991011709945974,0.00898829005402558,0.00934636258387746,0.997369125405393,66.8556109209939,0.000928517733904703,1.58295278737224e-05,0.000930933623710089,0.316121698480631
