algorithm_mode,window,mean_delta_Cs1_fault_pF,mean_delta_Cs2_fault_pF,RMS_delta_Cs1_fault_pF,RMS_delta_Cs2_fault_pF,RMS_delta_norm_pF,endpoint_delta_Cs1_fault_pF,endpoint_delta_Cs2_fault_pF,endpoint_delta_norm_pF,maximum_delta_norm_pF,cosine_with_true_drift,mean_parallel_signed_pF,RMS_parallel_pF,RMS_perpendicular_pF
M2,W0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
M2,W1,4.88020345667928,-4.83796737250452,4.88070555401669,4.83886521765913,6.87283808187567,4.93827633546152,-4.91739450619448,6.96902732775033,6.96902732775033,0.981423746070279,6.74419617341795,6.74508681823268,1.31897957307365
M2,W2,4.9194384383204,-4.90295148155476,4.91945161150607,4.90295403583257,6.94549943743682,4.90654768304669,-4.89777523011246,6.93270599194239,6.96796249390081,0.980908476328008,6.81288834948281,6.81289914491825,1.35069155494858
M2,W3,0.447625028531096,-0.376418615150605,0.567921812057386,0.508153774092468,0.762073121645776,0.130280206205537,-0.0941552955815368,0.160742501582512,1.78970487453558,0.993823792554299,0.581246016429158,0.753253699179796,0.115604097708155
M2,W4,0.00658150022857198,-0.00402726342686224,0.00843934455601366,0.00495729379540918,0.00978760942769581,0.00140785442264324,-0.00110067231527999,0.00178704606011707,0.0223921426162226,0.99924449270835,0.00771006301549891,0.00976595170775986,0.00065075767442657
M3,W0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
M3,W1,0.51007549727485,-0.721176389735924,0.522330792164913,0.729231842352738,0.896999741552236,0.328625550006866,-0.571347692468774,0.659115268983133,1.10398467058318,0.933337352477184,0.824445152541563,0.838482746401419,0.318677298111926
M3,W2,0.151719664033487,-0.51329366893956,0.165582419373421,0.515810497259423,0.541736104287482,0.0233673139690733,-0.423508549287608,0.424152711510635,0.598781204567853,0.767799846757017,0.410962489997867,0.419071582167462,0.343303095978228
M3,W3,-0.3410470328618,-0.240861764920281,0.369448216626722,0.250303420732063,0.446255293748818,-0.538252177693943,-0.144095009205617,0.557206226158896,0.557206226158896,-0.35964808854782,-0.150162215811274,0.215771550681452,0.39062312414316
M3,W4,-0.0702492908480994,-0.0229954491624571,0.116533812851009,0.035107297790684,0.121707238469035,-0.00959594553489751,0.00268702479510807,0.00996505258181035,0.35325221699283,-0.618196555094772,-0.0456953629644804,0.0798352831466027,0.0918639181651876
M4,W0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
M4,W1,3.18721466096576,-3.23027314387958,3.21394617132415,3.25546997327305,4.57466225409612,3.73129551519854,-3.77068471556135,5.30477421252863,5.30477421252863,0.979242782246609,4.44375604354553,4.47996095429513,0.926004636620629
M4,W2,4.23577057853155,-4.28102915703555,4.24119331878972,4.28584523142495,6.0296094496305,4.5122100633212,-4.54248174737804,6.40266976196646,6.40266976196646,0.979524677242857,5.89906187006818,5.90623799854126,1.21348375335684
M4,W3,0.380405937146317,-0.306060740664023,0.466680343918057,0.405786064602886,0.6184277432533,0.122354407061611,-0.084969999580137,0.148964766827753,1.43508421091887,0.995996226069247,0.486288824873625,0.611849635431023,0.089960531614068
M4,W4,0.00634313904182902,-0.00373566299129799,0.0080899133842092,0.00456230739880017,0.00928769871201451,0.00139909166056107,-0.00108180142119707,0.00176854510532119,0.0212506774338632,0.998445658158808,0.00734998370108448,0.00925647922422273,0.000760880895200675
