branch,algorithm_mode,window,Cs1_RMSE_pF,Cs2_RMSE_pF,Cs1_mean_error_pF,Cs2_mean_error_pF,Cs1_endpoint_error_pF,Cs2_endpoint_error_pF,parameter_error_RMS_norm_pF,endpoint_error_norm_pF
CF,M2,W0,0.336851671516642,0.248607617351099,-0.33084345852601,0.245124697083573,-0.23778552063931,0.214496987627969,0.418658328483438,0.32023571244816
CF,M2,W1,0.179567346680187,0.10245047007521,-0.177840206685329,0.0932807320142543,-0.173162302598136,0.0613000635342988,0.206737831110791,0.183692353761384
CF,M2,W2,0.193534453752682,0.133491908944401,-0.183052720325911,0.127776909139198,-0.228160351907283,0.153631777251093,0.235107793454341,0.275063391173352
CF,M2,W3,0.206523213831134,0.189707180251171,-0.187309186577853,0.186693780551386,-0.063317273451263,0.138735845973766,0.280429406607065,0.15250151499365
CF,M2,W4,0.0765905429759222,0.0439125002643455,-0.0649172096067721,0.0123721408967899,-0.082313616738892,0.0687441181845685,0.0882860065515112,0.107244045455266
CF,M3,W0,0.336851671516642,0.248607617351099,-0.33084345852601,0.245124697083573,-0.23778552063931,0.214496987627969,0.418658328483438,0.32023571244816
CF,M3,W1,0.179567346680187,0.10245047007521,-0.177840206685329,0.0932807320142543,-0.173162302598136,0.0613000635342988,0.206737831110791,0.183692353761384
CF,M3,W2,0.193534453752682,0.133491908944401,-0.183052720325911,0.127776909139198,-0.228160351907283,0.153631777251093,0.235107793454341,0.275063391173352
CF,M3,W3,0.206523213831134,0.189707180251171,-0.187309186577853,0.186693780551386,-0.063317273451263,0.138735845973766,0.280429406607065,0.15250151499365
CF,M3,W4,0.0765905429759222,0.0439125002643455,-0.0649172096067721,0.0123721408967899,-0.082313616738892,0.0687441181845685,0.0882860065515112,0.107244045455266
CF,M4,W0,0.338052102955573,0.249183026495,-0.332169600244273,0.245737212451671,-0.237183774700529,0.21427368268408,0.419965956960673,0.319639412576405
CF,M4,W1,0.181508222126144,0.104188982265784,-0.179848620037937,0.0955501880106556,-0.175832086347867,0.0636792628757128,0.20928587798744,0.187007943975217
CF,M4,W2,0.193732943205423,0.134407926587762,-0.183469487269619,0.128811316505513,-0.227595841116813,0.153933330820681,0.235792162746468,0.274764148373143
CF,M4,W3,0.207499540247046,0.19123973127381,-0.188497895108788,0.188294393141133,-0.0642333293046171,0.139960794242562,0.282185566640845,0.153996573074092
CF,M4,W4,0.0764979681504077,0.0438644885009619,-0.0651428238815794,0.0129579076318957,-0.0825487763586779,0.0689122718678821,0.0881818149200343,0.107532328591489
