variant,window,mean_fault_DeltaCs1_pF,mean_fault_DeltaCs2_pF,fault_induced_RMS_norm_pF,fault_increment_retention_ratio
M2,W1,4.88020345667928,-4.83796737250452,6.87283808187567,0.668541067358324
M2,W2,4.9194384383204,-4.90295148155476,6.94549943743682,0.664987254196653
M3,W1,0.51007549727485,-0.721176389735924,0.896999741552236,0.958048776150302
M3,W2,0.151719664033487,-0.51329366893956,0.541736104287482,0.977429224369139
A_FULL,W1,3.18721466096576,-3.23027314387958,4.57466225409612,0.781123301986018
A_FULL,W2,4.23577057853155,-4.28102915703555,6.0296094496305,0.709522944992413
A_NO_WEIGHT,W1,4.88020345667928,-4.83796737250452,6.87283808187567,0.668541067358324
A_NO_WEIGHT,W2,4.9194384383204,-4.90295148155476,6.94549943743682,0.664987254196653
A_BACKGROUND_ONLY,W1,3.18721466096576,-3.23027314387958,4.57466225409612,0.781123301986018
A_BACKGROUND_ONLY,W2,4.23577057853155,-4.28102915703555,6.0296094496305,0.709522944992413
A_FIXED_LAMBDA,W1,0.192738414199174,-0.238258521380747,0.311068356593431,0.985269629746716
A_FIXED_LAMBDA,W2,0.317795123566693,-0.399528791807378,0.514488176603432,0.975506846866441
